,Image_name,Image_url
81,Frobenius_Norm,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e97817f7b0e23c0543/1539363564026/Frobenius_Norm_web.png
82,Function,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2eae5e5f0c22ccc8429/1539363564664/Function_web.png
83,Gaussian_Naive_Bayes_Classifier,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2ea0d929751ee48d3ec/1539363567481/Gaussian_Naive_Bayes_Classifier_web.png
84,Generalization,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2eb652dea62336cc03e/1539363569392/Generalization_web.png
85,Gini_Index,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2ecf9619a023f8bfaba/1539363569114/Gini_Index_web.png
86,Grabcut,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2ef53450ae7c17f50c6/1539363570567/Grabcut_web.png
87,Gradient_Cliff,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2efb208fc1df53bcd76/1539363570535/Gradient_Cliff_web.png
88,Gradient_Clipping,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2f01905f4e84ce86784/1539363570698/Gradient_Clipping_web.png
89,Gradient_Descent_Rule_Of_Thumb,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2f0ec212d165b19f638/1539363570991/Gradient_Descent_Rule_Of_Thumb_web.png
90,Gradient_Descent_Visualized,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2f124a694ece9fe6761/1539363571208/Gradient_Descent_Visualized_web.png
91,Gradient_Descent,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2f1a4222f3ac53da903/1539363571955/Gradient_Descent_web.png
92,Gradient,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2f1c8302570011441c7/1539363573570/Gradient_web.png
93,Greedy_Algorithms,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2f224a694ece9fe677d/1539363573645/Greedy_Algorithms_web.png
94,Greek_Letters_1,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2f3085229c3731ef4ca/1539363573953/Greek_Letters_1_web.png
